Gate_index;Calc-Gated_Sample-X;Calc-Gated_Sample-Z;Calc-Gated_Sample-Rz;Calc-Gated_Sample-Rx;Calc-Gated_Sample-Rs;Calc-Gated_FZPCS-X;Calc-Gated_FZPCS-Z;Calc-Gated_FZPCS-Rx;Calc-Gated_FZPCS-Rz;Raw-Gated_Sample-Xe;Raw-Gated_Sample-Xi;Raw-Gated_Sample-Ze;Raw-Gated_Sample-Zi;Raw-Gated_Sample-Zo;Raw-Gated_FZPCS-Xe;Raw-Gated_FZPCS-Xi;Raw-Gated_FZPCS-Ze;Raw-Gated_FZPCS-Zi;std(Raw-Gated_Sample-Xe);std(Raw-Gated_Sample-Xi);std(Raw-Gated_Sample-Ze);std(Raw-Gated_Sample-Zi);std(Raw-Gated_Sample-Zo);std(Raw-Gated_FZPCS-Xe);std(Raw-Gated_FZPCS-Xi);std(Raw-Gated_FZPCS-Ze);std(Raw-Gated_FZPCS-Zi);
32.000000;3.696108e-01;-3.415220e+00;7.925916e-05;1.834341e+01;-7.460387e-09;-6.163477e-05;4.881973e-04;-2.525395e-04;-5.699204e-05;-3.696212e-01;-3.696004e-01;-4.319616e+04;1.558168e+00;2.214117e+04;6.860000e-05;5.467273e-05;5.190546e-04;4.573455e-04;nan;1.355760e-05;1.068234e+01;1.850405e-04;nan;3.754317e-06;3.196945e-06;2.683628e-06;2.501229e-06;
33.000000;3.670806e-01;-3.414152e+00;1.562504e-04;1.834709e+01;-7.460387e-09;-6.171094e-05;4.875820e-04;-2.535146e-04;-5.767946e-05;-3.671010e-01;-3.670601e-01;-4.319616e+04;1.560303e+00;2.214119e+04;6.875926e-05;5.466667e-05;5.185555e-04;4.566111e-04;2.447829e-05;2.251631e-05;1.068234e+01;4.076509e-04;7.421332e+00;4.678252e-06;3.741624e-06;2.679761e-06;2.542044e-06;
34.000000;3.642736e-01;-3.413447e+00;1.518338e-04;1.834952e+01;-7.460387e-09;-6.183984e-05;4.872676e-04;-2.513884e-04;-5.751959e-05;-3.642935e-01;-3.642537e-01;-4.319616e+04;1.561715e+00;2.214120e+04;6.887037e-05;5.481482e-05;5.179815e-04;4.565555e-04;1.151785e-04;7.813319e-05;1.068234e+01;4.671178e-04;nan;4.757264e-06;4.037188e-06;2.634451e-06;2.626110e-06;
35.000000;3.611501e-01;-3.413213e+00;5.610212e-05;1.835032e+01;-7.460387e-09;-6.210742e-05;4.875625e-04;-2.519480e-04;-5.833490e-05;-3.611574e-01;-3.611427e-01;-4.319616e+04;1.562183e+00;2.214120e+04;6.923637e-05;5.498182e-05;5.183455e-04;4.567818e-04;nan;8.269134e-05;1.068234e+01;nan;4.286974e+00;3.884489e-06;3.187968e-06;2.546596e-06;2.321892e-06;
36.000000;3.580488e-01;-3.413460e+00;5.061127e-05;1.834947e+01;-7.460387e-09;-6.174805e-05;4.874434e-04;-2.540422e-04;-5.859069e-05;-3.580554e-01;-3.580422e-01;-4.319616e+04;1.561688e+00;2.214120e+04;6.890741e-05;5.459259e-05;5.184815e-04;4.564074e-04;6.124661e-05;7.555032e-05;1.068234e+01;1.069298e-04;nan;3.373458e-06;2.765622e-06;2.309508e-06;2.138522e-06;
37.000000;3.553030e-01;-3.414153e+00;1.470592e-04;1.834709e+01;-7.460387e-09;-6.183789e-05;4.879805e-04;-2.538983e-04;-5.830293e-05;-3.553222e-01;-3.552837e-01;-4.319616e+04;1.560302e+00;2.214120e+04;6.896227e-05;5.471698e-05;5.190000e-04;4.569622e-04;6.522712e-05;3.609946e-05;1.068234e+01;1.145641e-04;4.286974e+00;3.980905e-06;3.498689e-06;2.325134e-06;2.077209e-06;
38.000000;3.532084e-01;-3.415238e+00;1.458655e-04;1.834335e+01;-7.460387e-09;-6.096875e-05;4.878379e-04;-2.539783e-04;-5.844681e-05;-3.532275e-01;-3.531893e-01;-4.319616e+04;1.558132e+00;2.214120e+04;6.811320e-05;5.383019e-05;5.188679e-04;4.568113e-04;2.769531e-05;2.838035e-05;1.068234e+01;5.343707e-04;nan;4.599699e-06;3.849714e-06;3.595195e-06;3.540706e-06;
39.000000;3.518062e-01;-3.416635e+00;1.539824e-04;1.833855e+01;-7.460387e-09;-6.083789e-05;4.877539e-04;-2.537385e-04;-5.862266e-05;-3.518264e-01;-3.517861e-01;-4.319616e+04;1.555338e+00;2.214120e+04;6.800000e-05;5.367924e-05;5.187547e-04;4.567547e-04;4.231264e-05;nan;1.068234e+01;2.993622e-04;1.874938e+00;3.711258e-06;3.346499e-06;3.372541e-06;3.265470e-06;
40.000000;3.513223e-01;-3.418177e+00;1.469398e-04;1.833324e+01;-7.460387e-09;-6.128711e-05;4.876914e-04;-2.537385e-04;-5.980567e-05;-3.513416e-01;-3.513031e-01;-4.319616e+04;1.552254e+00;2.214120e+04;6.859615e-05;5.398077e-05;5.186923e-04;4.566923e-04;nan;2.774308e-05;1.068234e+01;nan;nan;3.788975e-06;3.085262e-06;3.381062e-06;3.330462e-06;
41.000000;3.517376e-01;-3.419732e+00;1.557729e-04;1.832788e+01;-7.460387e-09;-6.074805e-05;4.878770e-04;-2.542660e-04;-5.859069e-05;-3.517580e-01;-3.517172e-01;-4.319616e+04;1.549143e+00;2.214120e+04;6.790741e-05;5.359259e-05;5.189445e-04;4.568148e-04;1.863126e-05;nan;1.068234e+01;3.862479e-04;nan;4.603807e-06;3.997755e-06;2.479819e-06;2.325583e-06;
